username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
maiepoima;2015-11-14 10:38;0;0;"X chi mi ha contestato e bloccato riguardo la politica estera e la gestione dei sbarchi dico solo questo, chiedete scusa non a me a chi è";;;;"665463765001981952";https://twitter.com/maiepoima/status/665463765001981952
mcicconetti04;2015-11-14 10:37;0;1;"@ Piovegovernolad riparti e chiusura frontiere ... Basta sbarchi";;@;;"665463572089188352";https://twitter.com/mcicconetti04/status/665463572089188352
maumau6666;2015-11-14 10:37;3;2;"Moschee, frontiere, sbarchi, Boldrini pensiero... Tutto da rivedere senza l'ismo' fatto di buonismo, moralismo, islamismo e comunismo.";;;;"665463495845134336";https://twitter.com/maumau6666/status/665463495845134336
Acidrock10;2015-11-14 10:35;0;0;"@ MediasetTgcom24 intanto stanno minacciando anche Roma # Stiamosereni? Chiudere le frontiere e stop sbarchi # OraBasta";;@;# #;"665462962451292160";https://twitter.com/Acidrock10/status/665462962451292160
rossiste46;2015-11-14 10:12;0;0;"@ matteorenzi cosa aspetti a bloccare gli sbarchi dei clandestini?che ci ammazzino???svegliati";;@;;"665457335263981568";https://twitter.com/rossiste46/status/665457335263981568
RadioAttivo2;2015-11-14 09:57;0;0;"@ alinomilan in questo momento abbiamo bisogno di tanta ipocrisia e buonismo. Aumentiamo gli sbarchi e diamo più alloggio agli immigrati";;@;;"665453603251953664";https://twitter.com/RadioAttivo2/status/665453603251953664
emobranco;2015-11-14 09:48;0;0;"@ ItalianPolitics @ eunewsit e fermare sbarchi e rimpatriare clandestini no?";;@ @;;"665451119708106752";https://twitter.com/emobranco/status/665451119708106752
cdebby78;2015-11-14 09:45;0;0;"@ RenziRenziNews Devi far cessare gli sbarchi è così che entrano lo vuoi capire te e quella schifosa della boldrini";;@;;"665450493943128066";https://twitter.com/cdebby78/status/665450493943128066
DomenicoMilite1;2015-11-14 09:40;0;0;"Qual era la parola più gettonata questa estate in occasione dei tanti sbarchi di immigrati clandestini? OMOFOBIA?";;;;"665449149119209473";https://twitter.com/DomenicoMilite1/status/665449149119209473
patty_scarlet;2015-11-14 09:38;0;1;"@ angealfa si vergogni,ci farete ammazzare tutti!chiuda quelle cazzo di frontiere,blocchi gli sbarchi!La smetta di giocare cn la nostra vita";;@;;"665448584431710208";https://twitter.com/patty_scarlet/status/665448584431710208
metaanto;2015-11-14 09:36;1;0;"Dovremmo decidere di non votare più nessuno dei partiti favorevoli agli sbarchi all'accoglienza senza controlli e cittadinanza agli stran";;;;"665448327392190464";https://twitter.com/metaanto/status/665448327392190464
